Epoch,loss,accuracy,val_loss,val_accuracy
0,1.4761950969696045,0.5042124390602112,1.0490115880966187,0.6237188577651978
1,0.945141613483429,0.6558607816696167,0.7788777351379395,0.7276720404624939
2,0.8130876421928406,0.7009157538414001,0.6930298209190369,0.7554904818534851
3,0.7222090363502502,0.7366300225257874,0.6254208087921143,0.7745241522789001
4,0.6569876670837402,0.7580586075782776,0.5635064840316772,0.8155197501182556
5,0.6130684018135071,0.7752747535705566,0.5470147728919983,0.8155197501182556
6,0.5652624368667603,0.7932234406471252,0.5571823120117188,0.818448007106781
7,0.5382725596427917,0.8102564215660095,0.5456240177154541,0.8213762640953064
8,0.5002282857894897,0.8234432339668274,0.49837908148765564,0.8316251635551453
9,0.4764274060726166,0.8269230723381042,0.5097078084945679,0.8389458060264587
10,0.45442476868629456,0.8316850066184998,0.5174800753593445,0.8477305769920349
11,0.43890640139579773,0.8432234525680542,0.4551364481449127,0.852122962474823
12,0.4253155589103699,0.8496336936950684,0.4918496608734131,0.8286969065666199
13,0.3942214548587799,0.8580586314201355,0.4654524624347687,0.8594436049461365
14,0.3900948762893677,0.8584249019622803,0.43351027369499207,0.8609077334403992
15,0.3789069354534149,0.8648351430892944,0.4325152337551117,0.8653001189231873
16,0.35805103182792664,0.8725274801254272,0.45160797238349915,0.8535870909690857
17,0.33661413192749023,0.8818681240081787,0.45541226863861084,0.8594436049461365
18,0.33281445503234863,0.8791208863258362,0.4588944613933563,0.8550512194633484
19,0.3307116627693176,0.8833333253860474,0.42501959204673767,0.871156632900238
20,0.3059691786766052,0.8908424973487854,0.4062187671661377,0.879941463470459
21,0.318586140871048,0.8858974575996399,0.44525548815727234,0.86676424741745
22,0.3124849200248718,0.8935897350311279,0.4147000312805176,0.8814055919647217
23,0.2896970212459564,0.8941391706466675,0.42427387833595276,0.871156632900238
24,0.2909868657588959,0.8965201377868652,0.3968932628631592,0.8843338489532471
25,0.255235880613327,0.9144688844680786,0.39940518140792847,0.879941463470459
26,0.2649182975292206,0.9060439467430115,0.441057950258255,0.8740848898887634
27,0.27129796147346497,0.9054945111274719,0.41966137290000916,0.879941463470459
28,0.25327396392822266,0.910988986492157,0.42862769961357117,0.8726207613945007
29,0.25710347294807434,0.9073259830474854,0.442704975605011,0.871156632900238
30,0.24629530310630798,0.9159340858459473,0.4269939661026001,0.8814055919647217
31,0.24711234867572784,0.9122710824012756,0.41145768761634827,0.9019033908843994
32,0.23414011299610138,0.9186813235282898,0.40854591131210327,0.8916544914245605
33,0.23866327106952667,0.9181318879127502,0.4247244894504547,0.8784773349761963
34,0.2189963161945343,0.9223443269729614,0.41010424494743347,0.8901903629302979
35,0.23356209695339203,0.9164835214614868,0.3945753574371338,0.8887262344360352
36,0.2244449406862259,0.9177655577659607,0.40444257855415344,0.8857979774475098
37,0.2109769582748413,0.9274725317955017,0.40991801023483276,0.8916544914245605
38,0.22282350063323975,0.9172161221504211,0.38856133818626404,0.8945827484130859
39,0.21925239264965057,0.9216117262840271,0.3900333642959595,0.8784773349761963
40,0.2079765796661377,0.9307692050933838,0.3934348523616791,0.8901903629302979
41,0.2071588933467865,0.9296703338623047,0.4160313010215759,0.8887262344360352
42,0.20071887969970703,0.9316849708557129,0.386014848947525,0.8931186199188232
43,0.2190757691860199,0.9260073304176331,0.40810728073120117,0.9004392623901367
44,0.19435013830661774,0.9336996078491211,0.4101499617099762,0.8931186199188232
45,0.186886265873909,0.9364469051361084,0.41678646206855774,0.8857979774475098
46,0.18687550723552704,0.936996340751648,0.42969420552253723,0.8828697204589844
